,MCL1-DG_BC2CTUACXX_ACTTGA_L002_R1,MCL1-DH_BC2CTUACXX_CAGATC_L002_R1,MCL1-DI_BC2CTUACXX_ACAGTG_L002_R1,MCL1-DJ_BC2CTUACXX_CGATGT_L002_R1,MCL1-DK_BC2CTUACXX_TTAGGC_L002_R1,MCL1-DL_BC2CTUACXX_ATCACG_L002_R1,MCL1-LA_BC2CTUACXX_GATCAG_L001_R1,MCL1-LB_BC2CTUACXX_TGACCA_L001_R1,MCL1-LC_BC2CTUACXX_GCCAAT_L001_R1,MCL1-LD_BC2CTUACXX_GGCTAC_L001_R1,MCL1-LE_BC2CTUACXX_TAGCTT_L001_R1,MCL1-LF_BC2CTUACXX_CTTGTA_L001_R1
5725,1,0,0,0,1,1,13,24,0,0,0,0
5726,0,0,0,0,0,0,0,5,0,0,0,0
5727,1,3,0,1,0,0,0,2,1,0,3,3
5728,1261,1125,1175,1130,1127,1016,1079,1042,598,489,275,281
5729,0,0,0,0,0,0,0,0,0,0,0,0
5730,108,109,46,68,68,65,124,102,20,47,65,76
5731,959,1887,2179,1919,2171,1691,122,209,106,115,1646,1061
5732,898,773,523,505,694,603,566,533,197,201,263,280
5733,2,4,3,5,4,4,1,0,0,0,2,0
5734,1044,1100,1529,1295,1409,1179,627,618,415,414,349,337
5735,355,317,295,302,263,304,536,531,421,383,221,206
5736,414,338,362,313,367,349,329,327,349,309,197,183
5737,2948,3225,3438,2561,2403,2017,2621,2903,2456,2051,704,705
5738,1,0,1,0,0,0,0,0,1,0,0,0
5739,0,0,0,0,0,0,0,0,0,0,0,0
5740,336,300,333,294,211,197,469,431,407,334,253,248
5741,1411,1039,1542,1332,1199,980,1650,1714,1579,1304,838,866
5742,80,52,66,76,69,98,157,175,82,83,139,123
5743,642,670,604,557,433,397,832,935,736,647,264,262
5744,0,0,0,0,0,0,0,0,0,0,0,0
5745,1492,1522,1532,1396,1777,1617,550,551,111,61,64,75
5746,0,0,0,0,0,0,1,0,0,0,0,0
5747,0,0,0,0,0,0,0,1,0,0,0,0
5748,23,45,43,42,15,22,28,89,6,11,0,0
5749,7,15,7,9,10,10,35,46,11,9,9,10
5750,337,354,344,287,357,353,197,212,127,88,56,68
5751,2101,1824,1431,1167,1129,1208,1909,2255,1980,1771,699,766
5752,1,3,6,3,3,2,8,5,0,3,0,2
5753,893,716,936,907,1080,936,1101,1073,968,982,567,520
5754,355,357,357,253,183,159,485,342,262,184,149,162
5755,0,0,0,0,0,0,0,0,0,0,0,0
5756,0,0,0,1,0,0,0,0,0,0,0,0
5757,1254,1161,1129,1130,1370,1345,1252,1408,983,1057,689,680
5758,2,0,5,0,3,1,1,3,4,2,1,0
5759,0,0,0,0,0,0,0,0,0,0,1,0
5760,0,0,0,0,2,0,0,0,0,0,0,0
5761,0,0,0,0,0,0,0,0,0,0,0,0
5762,0,0,0,0,0,0,0,0,0,0,0,0
5763,0,0,0,1,0,0,0,0,0,0,0,0
5764,0,0,0,0,0,0,0,0,0,1,1,1
5765,0,0,0,0,0,0,0,0,0,0,0,0
5766,0,0,0,0,0,0,0,0,0,0,0,0
5767,0,0,0,0,0,0,0,0,0,0,0,0
5768,0,0,0,3,0,0,0,1,0,0,3,0
5769,0,0,0,0,0,0,0,0,0,0,0,0
5770,0,0,2,0,0,0,0,0,0,0,0,0
5771,0,0,0,0,0,0,0,0,0,0,0,0
5772,0,0,0,0,0,0,0,0,0,0,0,0
5773,1,0,1,0,0,0,0,0,0,0,0,2
5774,344,312,438,393,471,440,383,358,232,259,99,102
5775,280,344,391,406,282,267,158,103,8,15,16,8
5776,28,23,6,4,7,7,8,8,2,1,0,3
5777,0,0,0,0,0,0,0,0,0,0,0,0
5778,0,0,0,0,0,0,0,0,0,0,0,0
5779,0,1,0,0,0,0,0,0,0,0,0,0
5780,320,311,411,320,227,190,268,263,203,177,112,112
5781,250,343,492,547,876,907,279,319,157,105,72,74
5782,65,82,61,75,36,38,82,96,53,37,14,14
5783,1,1,1,1,0,0,0,0,0,0,0,0
5784,0,0,0,0,0,0,0,0,0,0,0,0
5785,0,0,0,0,0,0,0,0,0,0,0,0
5786,0,0,0,0,0,0,0,0,0,0,0,0
5787,487,591,457,372,219,181,548,630,596,438,342,422
5788,0,0,0,0,0,0,0,0,0,0,0,0
5789,0,0,0,0,0,0,0,0,0,0,0,0
5790,0,0,0,0,0,0,0,1,0,1,2,0
5791,0,0,0,0,0,0,0,0,0,0,0,0
5792,52,52,48,43,27,18,96,137,47,25,20,19
