,MCL1-DG_BC2CTUACXX_ACTTGA_L002_R1,MCL1-DH_BC2CTUACXX_CAGATC_L002_R1,MCL1-DI_BC2CTUACXX_ACAGTG_L002_R1,MCL1-DJ_BC2CTUACXX_CGATGT_L002_R1,MCL1-DK_BC2CTUACXX_TTAGGC_L002_R1,MCL1-DL_BC2CTUACXX_ATCACG_L002_R1,MCL1-LA_BC2CTUACXX_GATCAG_L001_R1,MCL1-LB_BC2CTUACXX_TGACCA_L001_R1,MCL1-LC_BC2CTUACXX_GCCAAT_L001_R1,MCL1-LD_BC2CTUACXX_GGCTAC_L001_R1,MCL1-LE_BC2CTUACXX_TAGCTT_L001_R1,MCL1-LF_BC2CTUACXX_CTTGTA_L001_R1
0,438,300,65,237,354,287,0,0,0,0,0,0
1,1,0,1,1,0,4,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,0,10,3,10,2,0,0
4,106,182,82,105,43,82,16,25,18,8,3,10
5,309,234,337,300,290,270,560,464,489,328,307,342
6,652,515,948,935,928,791,826,862,668,646,544,581
7,0,1,0,0,0,0,0,1,2,0,2,2
8,1604,1495,1721,1317,1159,1066,1334,1258,1068,926,508,500
9,4,2,14,4,2,2,170,165,138,60,27,15
10,769,752,1062,987,995,903,1381,1430,1762,1570,1330,1296
11,0,0,0,0,0,0,0,0,0,0,0,0
12,2,0,0,0,0,0,0,0,0,0,0,0
13,1494,1412,1157,967,1603,1577,1262,1336,1288,1278,717,622
14,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,1,0,0,0,0,1,0,0,0
16,1344,1242,1374,1593,2029,1982,1085,961,1036,1144,1427,1459
17,1,0,1,0,0,0,0,0,0,0,0,0
18,1691,1808,2127,1653,793,544,1207,1071,1076,948,383,409
19,18,15,15,21,24,24,26,55,172,197,247,252
20,5,3,3,4,17,12,19,15,27,53,18,12
21,17,6,15,18,84,77,5,8,9,7,6,5
22,764,537,286,262,358,282,256,311,140,141,39,49
23,1501,1378,1137,1021,1181,956,1475,1636,1446,1290,473,432
24,2,1,1,2,0,1,0,0,2,0,2,1
25,280,232,145,146,212,232,207,168,55,58,42,36
26,61,70,58,62,61,52,127,119,67,48,33,24
27,6,3,6,4,9,8,0,1,0,0,1,0
28,352,366,424,362,195,153,405,375,206,192,93,93
29,10,11,11,14,8,3,8,5,3,2,3,0
30,64,21,23,28,14,18,9,10,6,28,19,15
31,14,10,4,7,2,3,1,1,4,0,3,1
32,1,0,1,0,1,0,1,1,1,6,1,1
33,1134,1051,1174,1031,956,818,1531,1714,1426,1219,734,763
34,670,606,493,434,542,551,561,623,466,497,251,266
35,3447,3604,3304,2975,2983,2772,3703,3534,3018,3079,2290,2213
36,92,121,89,61,71,63,0,0,0,0,0,0
37,388,553,145,147,137,161,137,151,24,38,62,43
38,16,9,2,2,0,2,5,2,2,9,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0
40,884,965,331,535,437,372,42,63,10,11,18,17
41,38,15,23,9,10,5,13,7,18,8,1,0
42,8,11,13,12,18,15,5,9,5,3,0,0
43,2356,2516,3180,2743,3210,3146,2359,2541,1445,1268,719,740
44,1477,1481,1409,1290,1026,945,2333,2717,3945,3090,4555,4628
45,141,119,135,122,180,177,293,332,201,182,344,377
46,0,0,0,0,0,0,0,0,0,0,4,4
47,0,2,2,0,0,2,1,4,1,0,3,4
48,280,388,412,366,497,619,1,2,1,1,0,1
49,5,2,3,2,2,1,55,44,36,16,1,2
50,0,0,0,0,0,0,0,0,0,0,0,0
51,4,0,0,1,0,1,1,0,0,0,0,0
52,270,235,181,146,169,221,214,220,150,137,154,121
53,733,924,382,393,245,244,10,13,3,19,0,1
54,1,1,2,0,0,0,1,1,0,0,0,0
55,3,0,1,1,2,1,1,0,0,0,0,0
56,13915,16804,14309,12427,9690,8652,15065,14918,12087,10919,3834,3766
57,2322,1860,1809,1253,1278,1388,541,760,620,609,114,108
58,395,419,533,464,439,362,422,489,469,357,191,222
59,750,719,712,650,842,717,411,404,345,335,208,226
60,3119,2920,2716,2221,2115,1980,1347,1240,923,805,549,523
61,1,1,2,4,0,1,0,0,1,0,0,0
62,485,428,605,522,503,467,438,385,417,375,448,506
63,33,21,54,38,52,31,75,89,167,144,106,88
64,199,162,214,183,136,109,83,49,55,45,42,43
65,2,2,22,18,14,10,2,2,1,1,0,1
66,122,234,170,273,112,76,11,10,4,1,2,2
67,419,768,315,298,257,261,9,10,5,3,1,7
68,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,1,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0
74,1715,1540,1545,1787,2114,2638,1918,1692,200,61,99,85
75,0,0,0,0,0,1,14,22,3,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0
80,2,0,1,0,0,0,0,0,0,0,0,2
81,1394,1176,733,504,143,116,1737,1458,1102,354,552,591
82,0,4,1,1,0,0,1,2,0,0,0,0
83,154,164,101,84,77,70,32,37,3,6,1,1
84,88,77,38,62,75,77,33,37,4,11,5,5
85,145,109,65,76,92,90,117,99,55,61,51,54
86,52,78,77,109,90,98,43,50,4,12,4,3
87,4,2,3,4,8,5,6,8,32,89,38,35
88,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,2,0,3,1,0,1,0,0,0,0
90,1,0,0,0,2,3,0,0,0,0,0,0
91,1,1,1,2,2,4,0,0,0,0,0,0
92,1080,1113,881,947,1662,2240,1,4,2,2,1,3
93,2,10,4,0,5,3,0,0,0,0,0,0
94,0,0,0,0,0,0,0,1,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,1,0
97,372,332,619,396,401,401,3240,2982,7155,5882,2986,2709
98,0,0,3,0,0,0,3,2,10,6,10,5
99,56,70,95,77,56,66,49,60,69,84,37,47
100,739,808,850,814,774,736,473,562,599,535,453,439
101,99,73,95,134,89,123,182,148,102,101,112,105
102,940,840,637,550,836,906,547,575,519,505,310,347
103,245,725,1818,1461,197,181,825,1603,3121,3790,4874,5597
104,7,6,3,5,0,0,1,3,1,3,4,1
105,1230,1176,1241,1444,1501,1512,1232,1413,1139,1323,587,513
106,1,0,0,0,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0,0
110,174,193,168,144,121,97,212,219,208,132,72,84
111,0,0,0,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0,0,0,0
114,2798,2504,1902,1740,2231,2194,2611,2740,1825,1709,802,776
115,2493,2611,2068,1697,1719,1392,2009,1986,1268,1150,681,599
116,0,0,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0,0,0,0,0
119,0,0,0,0,2,0,0,0,2,1,0,0
120,7,2,3,2,2,1,5,5,5,1,1,1
121,0,4,3,0,0,1,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0,0,1
123,0,0,0,0,0,0,0,0,0,0,0,0
124,425,388,339,275,177,176,537,496,370,239,195,166
125,9,9,4,11,4,5,2,3,9,3,1,2
126,319,271,245,244,342,354,193,212,48,46,43,46
127,804,1071,2241,1917,1276,1036,534,577,708,600,222,232
128,543,489,618,548,396,460,492,567,350,295,134,168
129,222,214,186,160,124,116,183,208,161,114,68,92
130,2,3,1,1,3,0,8,5,3,13,5,8
131,31072,36904,16894,27489,56478,44370,7210,6921,4323,5308,3578,3500
132,1,0,0,0,0,1,0,1,2,0,1,1
133,250,216,241,136,90,96,244,289,224,169,115,152
134,782,689,633,472,321,354,969,902,958,762,430,465
135,281,241,213,148,94,100,373,349,184,152,80,86
136,47,53,64,47,15,14,1099,1345,1223,1359,985,1184
137,0,0,0,0,0,0,0,1,2,2,2,0
138,0,0,0,0,0,0,0,0,0,0,0,0
139,1,1,2,2,2,2,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0,0,0,0
141,0,0,0,0,1,0,0,0,0,0,0,0
142,181,228,251,169,138,152,70,65,42,43,10,4
143,6028,5643,6557,5811,5162,4708,4211,4752,4091,3482,1764,1717
144,488,557,398,361,314,268,1395,1428,329,377,262,247
145,4283,3843,3703,3682,2181,1817,3587,3776,5203,4797,2101,2097
146,2932,2375,2220,2113,1951,2043,2730,2692,3120,2388,2553,2691
147,204,294,63,29,44,26,67,79,7,6,14,15
148,19388,14215,6976,6965,10862,10687,3911,3897,1590,1328,1643,1777
149,2331,2293,2202,2021,1987,1817,2254,2375,1815,1660,825,855
150,367,287,297,246,273,254,696,778,356,302,406,382
151,1581,1359,998,698,658,617,685,740,346,212,284,322
152,396,268,117,121,101,173,519,454,318,240,319,349
153,128,105,92,105,110,119,139,203,103,95,105,125
154,96,101,133,112,98,115,140,163,106,86,97,124
155,7026,5219,5233,4421,2553,2422,6550,6010,2300,2049,978,792
156,14,6,17,16,18,13,35,44,91,42,4,2
157,646,583,787,780,476,464,857,833,908,717,596,619
158,2703,2537,2563,2524,2471,2248,1965,2234,2116,1835,1304,1306
159,8,9,12,9,5,3,3,2,1,1,1,1
160,1,19,13,10,2,4,1,4,0,0,1,0
161,2896,2643,2665,2640,2830,2695,1910,2204,2038,1728,954,947
162,14,7,2,7,6,7,2,1,2,0,0,0
163,4,16,3,3,6,3,0,3,0,0,0,0
164,699,572,627,538,868,823,333,384,322,336,128,131
165,808,737,844,803,801,768,1507,1654,1962,1589,1059,1225
166,529,511,464,424,400,439,558,666,575,506,375,344
167,1008,982,810,708,848,787,1683,1737,1672,1520,1062,1048
168,111,134,172,103,92,72,141,120,128,121,107,95
169,0,0,0,0,0,0,0,0,0,0,0,0
170,22,14,46,32,16,12,856,1015,948,819,582,599
171,0,0,0,0,0,0,0,0,0,2,2,3
172,27,36,36,36,41,43,47,57,33,46,18,17
173,26,26,39,23,49,29,48,43,55,71,21,21
174,171,208,236,197,312,240,139,153,112,85,116,115
175,480,431,494,534,454,384,535,584,403,365,221,228
176,0,0,0,0,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,1,3,10,2,1
178,870,755,836,760,804,759,1207,1475,1311,1298,440,400
179,4112,3876,4855,4156,3336,2740,4480,4686,5629,6043,2501,2550
180,518,530,693,574,420,404,527,523,607,541,354,351
181,363,327,325,278,231,226,5,5,0,1,0,0
182,0,5,0,1,0,1,1,0,1,1,0,0
183,24,9,48,29,32,55,13,19,24,14,1,1
184,0,0,0,0,0,0,1,0,0,0,0,0
185,0,0,0,0,0,0,0,0,0,0,0,0
186,1282,1119,1698,1844,2032,1833,981,1202,720,629,230,316
187,24,25,14,29,12,12,179,310,256,315,462,380
188,1655,1862,1804,1569,987,889,2350,2596,1863,1601,669,673
189,482,470,306,248,246,288,942,1310,2334,2274,4091,4547
190,948,806,602,530,405,474,489,509,419,311,158,168
191,21,17,14,13,3,4,10,3,4,8,0,0
192,2943,3143,2005,1673,815,742,1698,1855,2553,2371,1947,1942
193,26,16,19,20,0,1,0,1,6,4,0,0
194,1,2,1,2,2,0,0,2,1,2,1,0
195,0,2,0,0,0,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0,0,1,0,0,0
197,6042,5787,6242,5804,6128,5980,4341,4710,4492,4869,985,923
198,1,0,9,7,7,9,0,0,0,1,0,0
199,12,12,42,90,110,89,5,4,0,1,8,3
200,394,462,369,409,266,255,640,700,133,193,120,112
201,108,211,62,67,37,34,85,104,48,62,162,163
202,13,23,93,25,9,5,4,2,7,2,2,1
203,92,51,40,28,4,5,639,534,348,761,453,629
204,6,2,7,1,2,2,26,51,36,54,104,132
205,0,3,15,16,24,21,16,13,337,750,3110,3596
206,19,10,8,3,6,6,34,48,51,79,409,425
207,35,21,18,16,6,13,86,47,66,80,73,85
208,3,7,25,26,24,31,2,1,1,3,2,3
209,0,0,0,0,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0,0,0,0
211,0,1,0,0,0,0,0,1,1,0,0,0
212,0,0,1,0,0,0,0,0,0,0,0,0
213,507,408,437,436,370,305,620,664,404,351,174,149
214,0,0,1,1,1,0,1,0,0,0,0,0
215,679,526,581,473,629,678,680,692,760,669,499,545
216,402,280,357,362,433,554,278,271,206,187,149,150
217,908,1068,1803,1700,1208,1134,341,467,174,208,14,21
218,750,862,815,726,491,423,1041,1091,836,828,345,376
219,1592,1614,2049,1946,1754,1763,3498,4109,558,658,365,352
220,2,2,1,6,2,2,3,11,12,19,1,3
221,3414,4153,11991,9261,1445,1155,42,35,23,12,0,2
222,181,148,120,85,64,77,449,332,127,129,180,186
223,481,504,522,510,428,412,736,756,760,677,465,466
224,2444,3036,3416,2632,1989,1522,2438,2773,3076,3017,1482,1331
225,0,0,1,0,2,0,1,0,1,2,3,0
226,659,527,489,333,268,232,505,429,450,306,477,393
227,1412,1178,1284,1188,875,828,525,463,354,290,214,177
228,179,110,127,114,140,168,212,200,109,167,97,79
229,656,585,583,579,693,657,349,379,276,298,155,178
230,0,0,0,0,0,0,0,0,0,0,0,0
231,0,0,0,0,0,0,0,0,0,0,0,0
232,624,888,717,944,897,865,127,239,185,341,524,616
233,1,2,2,0,2,1,1,0,3,1,1,1
234,1349,1844,3202,3285,2083,1713,441,783,723,446,696,763
235,5409,4982,1597,2337,4816,4891,62,87,79,50,48,59
236,981,860,917,711,474,442,1002,879,585,441,257,293
237,5159,4902,9502,10606,10675,8530,1883,2141,1363,1517,635,664
238,83,91,22,15,22,34,173,145,48,61,114,133
239,3,3,1,5,1,2,4,4,7,7,2,2
240,0,0,0,0,0,0,0,0,0,0,0,0
241,110,169,79,132,220,185,15,14,3,2,3,8
242,10,9,8,4,14,6,2,2,0,0,1,0
243,1936,2138,2181,1785,1952,1795,540,526,495,279,438,455
244,0,0,0,0,0,0,0,0,0,0,0,0
245,44,38,9,17,11,12,2,4,1,0,0,1
246,0,1,0,2,2,1,0,0,0,0,0,0
247,4060,4455,2493,2833,4721,5195,936,940,276,345,72,65
248,3147,2577,2107,2327,4323,3718,3021,3927,2145,2581,1410,1433
249,0,3,3,1,3,7,1,6,15,24,29,26
250,1603,1908,2129,1670,1817,1767,1636,1750,635,534,155,169
251,3,3,19,30,25,23,31,27,1,0,2,2
252,0,2,0,2,1,0,1,0,3,5,0,0
253,532,626,1056,894,970,731,837,879,1049,657,783,726
254,11098,10148,10106,8413,7574,6460,4644,4909,1947,1925,677,718
255,1947,2088,2836,2360,2980,2602,3106,4049,3715,3491,1275,1112
256,120,109,92,69,78,115,149,171,42,21,23,15
257,1148,1062,868,853,1565,1528,2392,2573,3865,3167,1963,1970
258,324,278,222,222,242,299,230,224,213,175,113,80
259,351,337,552,550,577,505,399,361,483,497,458,454
260,51,119,361,321,298,269,8,5,5,6,81,62
261,0,0,0,0,2,0,0,0,0,0,0,0
262,0,0,2,1,0,0,0,0,0,0,0,0
263,106,118,96,67,65,68,154,140,64,34,59,53
264,120,89,53,52,67,72,413,371,266,231,246,228
265,117,144,139,139,148,171,100,111,89,70,60,62
266,232,217,187,170,123,146,580,618,735,769,403,481
267,32,42,15,25,48,49,4,4,2,0,0,0
268,858,721,1198,832,516,468,317,369,292,223,348,359
269,90,77,194,158,253,234,19,12,5,4,50,40
270,5,1,2,6,3,1,4,5,2,2,0,0
271,277,208,196,183,228,292,259,272,138,134,135,147
272,232,242,238,240,229,231,307,315,90,93,69,77
273,1281,1385,484,549,637,582,256,270,29,48,13,18
274,18573,17467,16440,13835,10459,10757,15047,15956,12618,12309,6437,6220
275,5825,5636,5220,4648,3907,3331,4957,5033,4556,4029,2122,1818
276,5398,5221,5127,3496,2045,1768,6178,5944,5409,3715,2874,3158
277,1138,1051,975,712,393,336,1130,1189,1018,716,470,448
278,1208,1084,1239,1152,1377,1209,1344,1452,898,776,491,455
279,245,268,79,110,83,187,404,298,22,14,109,105
280,235,230,299,216,125,111,264,300,251,175,158,141
281,0,0,0,0,0,0,0,2,0,0,1,1
282,562,1045,1126,962,916,1013,75,67,96,258,878,837
283,235,146,152,107,90,80,102,96,76,63,61,56
284,0,0,0,0,0,0,0,0,0,0,0,0
285,0,0,0,0,0,0,0,0,0,0,0,0
286,22,21,8,8,2,9,16,16,15,11,14,11
287,4,5,3,2,0,1,5,6,4,8,2,1
288,0,0,0,0,0,0,0,0,0,0,2,3
289,8,6,8,9,4,4,10,8,5,2,6,5
290,65,47,94,70,55,62,48,64,90,37,63,71
291,190,174,222,197,202,188,222,207,106,80,47,65
292,261,283,300,259,169,171,477,481,411,343,177,180
293,1238,968,958,1151,1741,1469,364,290,19,43,12,17
294,167,159,185,177,180,202,163,176,58,76,16,49
295,115,102,87,55,23,14,86,91,70,37,111,89
296,537,693,281,435,298,319,213,190,7,33,19,20
297,3,2,2,5,3,3,5,20,19,41,118,143
298,2,0,4,2,2,0,2,8,15,23,1,2
299,0,0,4,3,0,0,8,20,20,16,12,5
300,7308,7641,7408,5959,4673,3815,6744,7383,5580,4842,2089,2021
301,8421,6773,4161,3781,4822,6623,5909,6132,3033,2588,1941,2384
302,241,196,241,214,235,210,238,294,241,197,96,86
303,259,207,174,123,151,150,321,280,260,207,132,155
304,691,523,421,329,393,365,563,553,447,359,320,314
305,4,2,3,4,0,2,3,2,1,3,1,1
306,194,166,188,155,181,186,330,374,318,345,332,303
307,477,457,660,630,454,476,733,700,579,571,489,479
308,40,45,60,60,62,43,56,57,51,38,32,31
309,3,1,2,4,0,2,0,4,1,0,0,2
310,1726,1999,2552,2479,2614,2111,1047,1315,1444,1581,644,524
311,527,528,315,333,266,290,775,805,553,479,398,359
312,3938,3769,3757,3198,3270,2831,1587,2015,2198,2204,939,931
313,138,112,131,114,197,192,93,89,162,160,98,131
314,1,0,0,0,1,0,2,1,0,0,0,0
315,502,429,392,365,291,290,226,236,100,75,28,27
316,14,22,10,19,11,14,2,2,5,9,0,1
317,1259,1491,1660,1519,1583,1132,554,738,588,553,393,404
318,19,29,60,107,56,32,0,1,0,3,0,0
319,9624,5400,7854,8459,5579,6912,792,815,345,290,115,110
320,0,6,5,3,7,7,9,24,12,19,0,4
321,1809,1780,1724,1466,1438,1238,1873,2025,2046,1623,1012,890
322,14863,17215,18013,15650,12093,9593,5854,5874,3822,3320,2774,2552
323,12,4,4,4,7,6,5,3,0,0,2,8
324,7,3,3,1,1,3,0,1,0,1,3,0
325,1518,1790,1975,1872,1222,1058,791,818,458,420,172,222
326,125,122,146,134,121,90,52,60,26,46,14,15
327,1838,1602,1743,1225,861,749,820,890,1039,854,590,437
328,39,26,20,14,16,16,6,5,1,0,7,7
329,286,259,300,195,122,110,266,263,274,175,95,122
330,63,87,87,76,109,106,69,68,33,39,27,53
331,762,932,761,664,452,416,1039,1190,849,707,382,323
332,1182,1152,1139,1157,1790,1452,758,692,418,465,317,289
333,328,283,242,231,276,242,489,464,414,318,333,337
334,1091,839,1155,843,933,829,498,477,223,173,42,45
335,1160,1203,1519,1259,1085,1018,1083,1304,1089,983,817,700
336,342,268,358,318,241,187,467,433,606,586,790,745
337,7,8,6,6,9,13,5,16,14,11,6,7
338,1,0,2,2,2,1,1,3,0,3,9,13
339,0,0,0,0,0,0,0,0,0,0,0,0
340,4,0,3,1,0,1,0,0,0,0,0,0
341,1,1,2,0,1,0,0,2,1,0,0,0
342,0,0,0,0,0,0,0,0,0,0,0,0
343,477,444,354,323,184,204,441,379,644,525,93,69
344,869,1176,1167,1510,791,633,182,245,399,284,46,41
345,4,3,7,4,1,3,1,0,1,2,0,1
346,1899,1800,1992,1726,1596,1319,1804,2039,1360,1294,611,522
347,30,39,35,31,31,28,41,35,21,8,3,10
348,11,15,11,7,10,12,10,11,4,7,7,0
349,1391,1231,1790,1561,1324,1202,1380,1480,1386,1179,1540,1549
350,12512,13977,10741,8897,5143,4677,19932,21272,20303,18038,6171,6073
351,51,33,47,56,20,30,38,36,19,15,8,11
352,23,10,5,5,3,2,6,4,0,0,1,0
353,280,311,127,69,28,32,153,75,15,13,2,2
354,24,26,12,16,12,9,1,2,0,1,1,0
355,0,0,0,0,0,0,0,1,1,3,3,1
356,0,3,0,0,0,0,2,0,2,3,0,1
357,486,329,340,250,293,270,592,584,457,367,278,313
358,4,1,1,1,2,0,1,4,0,1,0,3
359,2,0,0,1,1,1,0,2,0,0,0,0
360,340,354,387,430,458,482,383,411,385,364,65,75
361,959,813,781,731,840,824,1140,1089,783,668,332,363
362,170,170,200,159,232,221,161,124,63,78,56,74
363,51,49,22,23,19,16,30,30,56,24,67,65
364,1373,1310,797,705,721,558,335,423,223,160,97,78
365,3220,2317,1546,1040,1239,1380,1025,1241,2365,1776,638,584
366,763,680,362,435,583,646,305,277,107,104,87,63
367,0,0,0,0,0,0,0,0,0,0,0,0
368,21,31,21,18,5,5,27,19,15,19,13,8
369,0,0,0,0,0,0,0,0,0,0,0,0
370,0,0,0,0,0,0,0,0,0,0,0,0
371,0,0,0,0,0,0,0,0,0,0,0,0
372,0,0,0,0,0,0,0,0,0,0,0,0
373,0,0,0,0,0,0,0,0,0,0,0,0
374,2,4,8,11,5,6,0,1,0,0,0,0
375,617,579,727,927,1311,1420,530,495,336,431,192,220
376,670,534,468,453,642,626,557,550,362,334,576,660
377,1,0,1,1,0,0,1,0,1,0,3,0
378,0,0,0,0,0,0,0,0,0,0,0,0
379,2950,3524,3346,3852,2701,2198,2913,2443,787,975,174,194
380,0,0,2,1,0,0,0,1,0,1,0,1
381,21,50,28,33,2,8,34,64,12,25,7,3
382,563,518,658,549,617,565,719,801,893,717,809,958
383,2428,2609,2495,1925,1762,1312,735,778,231,225,136,135
384,2056,2311,2061,2341,1073,823,2018,2415,2506,3029,390,323
385,8,10,10,5,1,7,9,14,6,7,2,2
386,0,3,1,0,0,0,5,2,0,0,0,0
387,997,1010,1070,1078,1034,993,831,834,449,379,256,225
388,0,0,0,0,1,0,1,1,1,0,1,0
389,5,9,6,8,2,3,144,170,207,151,94,51
390,0,0,0,0,0,0,0,0,0,0,0,0
391,489,493,421,384,296,318,330,354,177,205,404,459
392,0,0,0,0,1,1,0,0,0,0,0,0
393,0,0,0,0,0,0,0,0,0,0,0,0
394,138,145,74,68,21,23,127,97,62,30,82,55
395,89,104,30,39,21,17,2,0,0,0,0,0
396,1471,1034,1224,960,750,754,1655,1435,906,623,459,544
397,1566,1532,644,609,681,407,260,334,112,50,58,83
398,0,0,0,0,0,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,1,0,0,0,0,0
401,3,3,3,4,4,1,2,5,2,1,0,3
402,578,660,427,299,250,232,51,49,50,26,14,12
403,303,218,279,267,122,159,196,152,237,207,225,200
404,7,9,13,11,16,24,0,0,0,0,0,0
405,1201,1178,1235,1172,976,932,558,521,418,434,416,380
406,26,29,17,13,23,32,0,0,1,2,0,0
407,700,576,677,607,632,679,471,415,268,267,204,218
408,0,0,1,0,1,1,0,1,0,0,0,0
409,221,224,249,181,127,131,296,289,203,190,87,96
410,6145,3737,28282,28554,26047,24688,17,21,51,57,23,25
411,87765,97798,106228,55364,39195,41658,55835,53177,21269,26327,8875,9295
412,0,0,0,0,0,0,0,0,0,0,0,0
413,0,0,1,1,0,1,0,0,0,0,0,0
414,64,83,101,87,93,79,107,121,114,157,221,219
415,5,5,12,14,5,6,5,7,8,13,16,19
416,2,4,4,2,1,0,0,0,1,0,0,0
417,6490,5599,23002,27489,35649,32593,235,455,237,210,812,785
418,93,94,184,134,64,60,19,28,13,11,13,6
419,0,0,0,0,0,0,0,0,0,0,0,0
420,1,1,5,1,0,0,0,2,1,3,0,0
421,0,0,0,0,0,0,0,0,0,0,0,0
422,0,0,0,0,0,0,0,0,0,0,0,0
423,4717,4480,5435,5041,4903,4083,4520,5026,3942,4016,1652,1525
424,0,1,1,1,1,1,0,2,0,0,0,1
425,4434,4114,4602,3676,2925,2851,3805,4299,4336,3757,2252,2076
426,523,533,793,702,841,809,360,389,372,323,178,180
427,3097,3179,3949,3734,3427,3095,4084,4610,5080,5236,2685,2790
428,20,7,18,12,22,20,1,0,0,1,1,1
429,28,34,22,32,11,8,14,7,4,2,1,0
430,1330,1054,1193,1110,1198,1238,1125,1080,902,815,536,496
431,1,3,0,1,0,0,0,1,1,0,1,0
432,17,29,26,27,16,12,2,6,3,5,2,3
433,1858,2023,1907,1800,1461,912,1371,1364,857,562,370,348
434,797,697,560,441,426,479,911,967,659,409,395,457
435,96,97,88,48,78,67,15,22,6,13,10,7
436,1705,1448,1219,1038,1147,1069,723,808,575,449,185,183
437,250,223,265,243,187,198,335,343,338,274,164,177
438,600,686,681,558,515,566,662,665,417,367,252,205
439,206,149,85,82,81,102,151,176,47,44,17,19
440,972,739,748,492,370,315,1023,975,878,726,366,402
441,129,157,171,156,202,195,15,12,8,0,0,4
442,3,9,20,19,20,24,0,0,0,0,0,0
443,761,651,1673,1799,2222,2350,11,4,3,1,2,2
444,2204,2086,1039,1163,1180,952,4,11,4,3,9,0
445,4,6,0,3,1,0,0,0,0,0,0,0
446,0,0,0,0,0,0,0,0,0,0,0,0
447,0,0,0,0,0,0,1,0,0,0,0,0
448,0,0,0,0,0,0,0,0,0,0,0,0
449,0,0,0,0,0,1,1,1,0,0,1,0
450,6,16,4,1,2,2,0,6,1,2,0,0
451,66,61,59,52,76,79,55,72,72,61,26,37
452,124,102,61,54,50,50,30,57,20,35,13,11
453,800,625,570,497,481,558,954,1124,1364,1550,632,592
454,947,765,592,475,554,613,1600,1696,1298,1256,861,815
455,305,178,280,220,328,292,407,481,437,390,292,288
456,385,303,397,355,248,252,313,348,515,469,463,462
457,1019,832,1074,931,1010,1080,874,1079,1278,1172,1279,1320
458,233,182,159,118,180,218,372,389,302,217,175,200
459,256,257,200,238,275,278,224,191,85,64,40,19
460,797,599,750,674,593,608,960,976,610,546,402,432
461,9211,6876,5306,4726,3718,3316,6493,5775,3203,2544,3699,4144
462,3,4,0,1,2,1,5,6,0,1,3,1
463,1001,1043,1291,1048,1316,1173,1356,1697,1309,1196,708,614
464,21,31,34,41,39,37,31,29,14,23,5,3
465,0,1,2,0,0,0,0,0,1,0,0,1
466,909,680,642,522,556,561,1284,1419,1179,1070,738,695
467,400,281,106,183,106,100,38,26,7,6,10,10
468,1,0,0,1,0,0,1,0,0,0,0,0
469,1453,1272,3032,3282,4325,4425,175,214,34,43,39,46
470,745,689,1084,1156,1145,1125,774,949,982,996,820,773
471,0,0,0,0,1,1,0,0,0,0,0,0
472,38,52,38,42,44,60,4,5,1,0,0,0
473,2341,2371,2446,2032,1484,1340,1148,1148,1438,1153,747,750
474,318,277,241,249,217,189,73,80,57,41,71,81
475,1268,1313,1521,1162,888,956,327,435,107,54,18,18
476,72,81,167,171,134,158,87,114,27,11,17,11
477,534,383,289,307,297,374,694,838,490,617,267,265
478,1127,967,1516,1642,1413,1645,472,526,150,228,88,100
479,0,0,0,0,4,0,0,0,0,0,0,0
480,0,0,0,0,0,0,0,0,0,0,0,0
481,2683,2777,2688,1770,1366,1389,346,338,188,160,27,34
482,2,0,0,0,0,0,0,0,0,0,1,0
483,0,0,0,0,0,0,0,0,0,0,0,0
484,10,10,9,9,7,8,7,5,3,6,2,5
485,1085,780,944,784,678,591,1017,1005,837,609,792,779
486,1,2,3,4,8,11,3,2,0,3,3,17
487,3296,3153,2278,1930,1154,1030,3860,3254,2762,2568,684,677
